filename,width,height,class,xmin,ymin,xmax,ymax
train_w_360.jpg,800,600,with_mask,1,4,798,600
train_w_406.jpg,800,600,with_mask,1,28,797,600
train_w_412.jpg,800,600,with_mask,1,11,789,600
train_w_374.jpg,800,600,with_mask,1,25,795,600
train_w_348.jpg,800,600,with_mask,3,1,800,561
train_w_162.jpg,800,600,with_mask,1,71,800,600
train_w_176.jpg,800,600,with_mask,354,114,443,228
train_w_189.jpg,800,600,with_mask,348,123,618,429
train_w_214.jpg,800,600,with_mask,1,3,796,600
train_w_572.jpg,800,600,with_mask,1,1,797,562
train_w_566.jpg,800,600,with_mask,1,1,796,547
train_w_200.jpg,800,600,with_mask,236,45,622,403
train_w_228.jpg,800,600,with_mask,450,1,724,468
train_w_21.jpg,800,600,with_mask,1,2,775,586
train_w_35.jpg,800,600,with_mask,36,1,797,597
train_w_599.jpg,800,600,with_mask,246,146,555,437
train_w_598.jpg,800,600,with_mask,6,3,797,600
train_w_34.jpg,800,600,with_mask,237,135,576,402
train_w_20.jpg,800,600,with_mask,1,1,794,431
train_w_229.jpg,800,600,with_mask,1,2,799,600
train_w_567.jpg,800,600,with_mask,49,1,794,598
train_w_201.jpg,800,600,with_mask,81,1,571,423
train_w_215.jpg,800,600,with_mask,8,2,800,600
train_w_573.jpg,800,600,with_mask,1,24,793,597
train_w_188.jpg,800,600,with_mask,318,140,740,473
train_w_177.jpg,800,600,with_mask,332,111,465,297
train_w_163.jpg,800,600,with_mask,1,2,795,600
train_w_349.jpg,800,600,with_mask,1,261,800,600
train_w_413.jpg,800,600,with_mask,1,39,793,600
train_w_375.jpg,800,600,with_mask,41,1,614,596
train_w_361.jpg,800,600,with_mask,1,4,798,600
train_w_407.jpg,800,600,with_mask,1,4,795,600
train_w_377.jpg,800,600,with_mask,1,6,795,600
train_w_411.jpg,800,600,with_mask,4,87,800,589
train_w_405.jpg,800,600,with_mask,1,43,797,533
train_w_363.jpg,800,600,with_mask,1,25,798,600
train_w_439.jpg,800,600,with_mask,116,78,687,542
train_w_388.jpg,800,600,with_mask,1,55,796,600
train_w_175.jpg,800,600,with_mask,298,87,518,396
train_w_161.jpg,800,600,with_mask,14,3,797,600
train_w_149.jpg,800,600,with_mask,1,1,798,526
train_w_203.jpg,800,600,with_mask,1,3,796,600
train_w_565.jpg,800,600,with_mask,37,1,441,582
train_w_571.jpg,800,600,with_mask,289,114,505,256
train_w_217.jpg,800,600,with_mask,1,120,793,600
train_w_36.jpg,800,600,with_mask,1,1,799,599
train_w_559.jpg,800,600,with_mask,58,49,565,570
train_w_559.jpg,800,600,with_mask,574,1,800,166
train_w_22.jpg,800,600,with_mask,1,3,769,600
train_w_23.jpg,800,600,with_mask,1,2,799,600
train_w_37.jpg,800,600,with_mask,274,132,518,409
train_w_558.jpg,800,600,with_mask,1,75,797,594
train_w_570.jpg,800,600,with_mask,1,64,791,597
train_w_216.jpg,800,600,with_mask,1,107,800,600
train_w_202.jpg,800,600,with_mask,1,1,800,600
train_w_564.jpg,800,600,with_mask,1,1,793,598
train_w_148.jpg,800,600,with_mask,1,18,797,600
train_w_160.jpg,800,600,with_mask,27,33,178,288
train_w_160.jpg,800,600,with_mask,235,20,381,262
train_w_160.jpg,800,600,with_mask,418,103,589,252
train_w_160.jpg,800,600,with_mask,621,44,800,259
train_w_160.jpg,800,600,with_mask,54,418,148,520
train_w_160.jpg,800,600,with_mask,460,433,571,566
train_w_160.jpg,800,600,with_mask,633,309,778,494
train_w_174.jpg,800,600,with_mask,95,23,355,418
train_w_389.jpg,800,600,with_mask,1,4,795,600
train_w_438.jpg,800,600,with_mask,233,138,689,600
train_w_404.jpg,800,600,with_mask,1,150,793,600
train_w_362.jpg,800,600,with_mask,1,3,798,600
train_w_376.jpg,800,600,with_mask,1,4,795,592
train_w_410.jpg,800,600,with_mask,1,6,797,600
train_w_428.jpg,800,600,with_mask,258,83,580,599
train_w_414.jpg,800,600,with_mask,335,102,598,483
train_w_372.jpg,800,600,with_mask,5,1,798,600
train_w_366.jpg,800,600,with_mask,1,141,783,600
train_w_400.jpg,800,600,with_mask,6,2,800,600
train_w_399.jpg,800,600,with_mask,447,131,548,267
train_w_158.jpg,800,600,with_mask,1,3,797,600
train_w_170.jpg,800,600,with_mask,78,39,428,389
train_w_170.jpg,800,600,with_mask,398,1,781,477
train_w_164.jpg,800,600,with_mask,1,89,799,568
train_w_33.jpg,800,600,with_mask,1,1,793,595
train_w_27.jpg,800,600,with_mask,4,1,797,598
train_w_548.jpg,800,600,with_mask,1,1,797,600
train_w_560.jpg,800,600,with_mask,1,3,797,600
train_w_206.jpg,800,600,with_mask,1,1,779,598
train_w_212.jpg,800,600,with_mask,3,1,800,600
train_w_574.jpg,800,600,with_mask,447,118,605,291
train_w_213.jpg,800,600,with_mask,30,2,781,591
